page_id,stage,status,accepted,base,tokens_base_logged,tokens_candidate_logged,tokens_original_report,tokens_saved_vs_base_logged,candidate_reduction_vs_original_pct,pixel_identical
we00000,l1a,ok,True,original,2371.0,1985.0,2371.0,386.0,16.280050611556305,True
we00001,l1a,ok,True,original,5544.0,4468.0,5544.0,1076.0,19.40836940836941,True
we00002,l1a,ok,True,original,2609.0,2449.0,2609.0,160.0,6.132617861249521,True
we00003,l1a,ok,True,original,2641.0,2277.0,2641.0,364.0,13.782658084059069,True
we00004,l1a,ok,True,original,3802.0,3630.0,3802.0,172.0,4.523934771173066,True
we00005,l1a,ok,True,original,3501.0,2936.0,3501.0,565.0,16.138246215367037,True
we00006,l1a,ok,True,original,6634.0,5755.0,6634.0,879.0,13.249924630690384,True
we00007,l1a,ok,True,original,5269.0,4355.0,5269.0,914.0,17.346745112924655,True
we00008,l1a,ok,True,original,2999.0,2891.0,2999.0,108.0,3.601200400133378,True
we00009,l1a,ok,True,original,5385.0,4416.0,5385.0,969.0,17.99442896935933,True
we00010,l1a,ok,True,original,5063.0,4228.0,5063.0,835.0,16.49219830140233,True
we00011,l1a,ok,True,original,6945.0,5896.0,6945.0,1049.0,15.104391648668107,True
we00012,l1a,ok,True,original,5271.0,4652.0,5271.0,619.0,11.743502181749193,True
we00013,l1a,ok,True,original,2593.0,2456.0,2593.0,137.0,5.283455456999614,True
we00014,l1a,ok,True,original,8924.0,7469.0,8924.0,1455.0,16.304347826086957,True
we00015,l1a,ok,True,original,7629.0,6002.0,7629.0,1627.0,21.326517236859353,True
we00016,l1a,ok,True,original,5951.0,5034.0,5951.0,917.0,15.40917492858343,True
we00017,l1a,ok,True,original,1207.0,1191.0,1207.0,16.0,1.3256006628003314,False
we00018,l1a,ok,True,original,4121.0,3502.0,4121.0,619.0,15.020626061635525,True
we00019,l1a,ok,True,original,6600.0,5721.0,6600.0,879.0,13.318181818181818,True
we00020,l1a,ok,True,original,4953.0,3671.0,4953.0,1282.0,25.88330304865738,True
we00021,l1a,ok,True,original,5527.0,4284.0,5527.0,1243.0,22.489596526144382,True
we00022,l1a,ok,True,original,4247.0,3679.0,4247.0,568.0,13.37414645632211,True
we00023,l1a,ok,True,original,3017.0,2737.0,3017.0,280.0,9.280742459396752,True
we00024,l1a,ok,True,original,2842.0,2693.0,2842.0,149.0,5.242786769880366,True
we00025,l1a,ok,True,original,6591.0,5682.0,6591.0,909.0,13.791533909877105,True
we00026,l1a,ok,True,original,2870.0,2782.0,2870.0,88.0,3.0662020905923346,True
we00027,l1a,ok,True,original,4501.0,4427.0,4501.0,74.0,1.64407909353477,True
we00028,l1a,ok,True,original,2142.0,1734.0,2142.0,408.0,19.047619047619047,True
we00029,l1a,ok,True,original,3422.0,3314.0,3422.0,108.0,3.1560490940970194,True
we00030,l1a,ok,True,original,4391.0,4283.0,4391.0,108.0,2.459576406285584,True
we00031,l1a,ok,True,original,7592.0,6235.0,7592.0,1357.0,17.874077976817702,True
we00032,l1a,ok,True,original,2560.0,2359.0,2560.0,201.0,7.8515625,True
we00033,l1a,ok,True,original,4997.0,4659.0,4997.0,338.0,6.764058435061036,True
we00034,l1a,ok,True,original,2835.0,2600.0,2835.0,235.0,8.289241622574956,True
we00035,l1a,ok,True,original,2717.0,2602.0,2717.0,115.0,4.232609495767391,True
we00036,l1a,ok,True,original,2505.0,2401.0,2505.0,104.0,4.151696606786427,True
we00037,l1a,ok,True,original,3187.0,2658.0,3187.0,529.0,16.598682146219016,True
we00038,l1a,ok,True,original,2528.0,2331.0,2528.0,197.0,7.792721518987341,True
we00039,l1a,ok,True,original,3022.0,2911.0,3022.0,111.0,3.673064195896757,True
we00040,l1a,ok,True,original,3075.0,2926.0,3075.0,149.0,4.845528455284553,True
we00041,l1a,ok,True,original,3819.0,2987.0,3819.0,832.0,21.785807803089813,True
we00042,l1a,ok,True,original,3565.0,3348.0,3565.0,217.0,6.086956521739131,True
we00043,l1a,ok,True,original,1527.0,1365.0,1527.0,162.0,10.609037328094303,True
we00044,l1a,ok,True,original,5874.0,4870.0,5874.0,1004.0,17.092271024855293,True
we00045,l1a,ok,True,original,2542.0,2092.0,2542.0,450.0,17.702596380802518,True
we00046,l1a,ok,True,original,4561.0,4206.0,4561.0,355.0,7.783380837535629,True
we00047,l1a,ok,True,original,6557.0,5648.0,6557.0,909.0,13.8630471252097,True
we00048,l1a,ok,True,original,3090.0,2954.0,3090.0,136.0,4.401294498381877,True
we00049,l1a,ok,True,original,2989.0,2910.0,2989.0,79.0,2.6430244228839075,True
we00050,l1a,ok,True,original,4327.0,3709.0,4327.0,618.0,14.28241275710654,True
we00051,l1a,ok,True,original,3336.0,3176.0,3336.0,160.0,4.796163069544365,True
we00052,l1a,ok,True,original,1956.0,1751.0,1956.0,205.0,10.480572597137014,True
we00054,l1a,ok,True,original,5530.0,4704.0,5530.0,826.0,14.936708860759493,True
we00055,l1a,ok,True,original,4375.0,3279.0,4375.0,1096.0,25.05142857142857,True
we00056,l1a,ok,True,original,1704.0,1327.0,1704.0,377.0,22.124413145539908,True
we00057,l1a,ok,True,original,4324.0,3818.0,4324.0,506.0,11.702127659574469,True
we00058,l1a,ok,True,original,2298.0,2143.0,2298.0,155.0,6.744995648389904,True
we00059,l1a,ok,True,original,2612.0,2523.0,2612.0,89.0,3.4073506891271057,True
we00060,l1a,ok,True,original,3353.0,3057.0,3353.0,296.0,8.827915299731584,True
we00061,l1a,ok,True,original,2695.0,2460.0,2695.0,235.0,8.719851576994435,True
we00062,l1a,ok,True,original,1834.0,1651.0,1834.0,183.0,9.978189749182116,True
we00063,l1a,ok,True,original,7104.0,5975.0,7104.0,1129.0,15.892454954954955,True
we00064,l1a,ok,True,original,3941.0,3738.0,3941.0,203.0,5.150976909413854,True
we00065,l1a,ok,True,original,4230.0,3603.0,4230.0,627.0,14.822695035460994,True
we00066,l1a,ok,True,original,1387.0,1191.0,1387.0,196.0,14.131218457101658,True
we00067,l1a,ok,True,original,4451.0,3859.0,4451.0,592.0,13.30038193664345,True
we00068,l1a,ok,True,original,4852.0,3838.0,4852.0,1014.0,20.898598516075847,True
we00069,l1a,ok,True,original,2884.0,2674.0,2884.0,210.0,7.281553398058253,True
we00070,l1a,ok,True,original,2909.0,2712.0,2909.0,197.0,6.7720866277071154,True
we00072,l1a,ok,True,original,4006.0,3453.0,4006.0,553.0,13.80429355966051,True
we00073,l1a,ok,True,original,4570.0,4153.0,4570.0,417.0,9.12472647702407,True
we00074,l1a,ok,True,original,2923.0,2688.0,2923.0,235.0,8.039685254875128,True
we00075,l1a,ok,True,original,1136.0,931.0,1136.0,205.0,18.045774647887324,True
we00076,l1a,ok,True,original,3386.0,2913.0,3386.0,473.0,13.96928529238039,True
we00077,l1a,ok,True,original,4958.0,4201.0,4958.0,757.0,15.26825332795482,True
we00078,l1a,ok,False,original,1812.0,1719.0,1812.0,0.0,,False
we00079,l1a,ok,True,original,3327.0,2887.0,3327.0,440.0,13.225127742711152,True
we00080,l1a,ok,True,original,2909.0,2808.0,2909.0,101.0,3.471983499484359,True
we00081,l1a,ok,True,original,3368.0,2595.0,3368.0,773.0,22.951306413301662,True
we00082,l1a,ok,True,original,1910.0,1675.0,1910.0,235.0,12.303664921465968,True
we00083,l1a,ok,True,original,5228.0,4442.0,5228.0,786.0,15.03442999234889,True
we00084,l1a,ok,True,original,3368.0,2595.0,3368.0,773.0,22.951306413301662,True
we00085,l1a,ok,True,original,1999.0,1437.0,1999.0,562.0,28.114057028514257,True
we00086,l1a,ok,True,original,1704.0,1327.0,1704.0,377.0,22.124413145539908,True
we00087,l1a,ok,True,original,2647.0,2527.0,2647.0,120.0,4.533434076312807,True
we00088,l1a,ok,True,original,3645.0,2967.0,3645.0,678.0,18.60082304526749,True
we00089,l1a,ok,True,original,1700.0,1566.0,1700.0,134.0,7.882352941176471,True
we00090,l1a,ok,True,original,6864.0,5927.0,6864.0,937.0,13.650932400932401,True
we00091,l1a,ok,True,original,8292.0,6612.0,8292.0,1680.0,20.260492040520983,True
we00092,l1a,ok,True,original,4239.0,3537.0,4239.0,702.0,16.56050955414013,True
we00093,l1a,ok,True,original,3348.0,3068.0,3348.0,280.0,8.363201911589009,True
we00094,l1a,ok,True,original,2966.0,2607.0,2966.0,359.0,12.10384356035064,True
we00095,l1a,ok,True,original,4842.0,3927.0,4842.0,915.0,18.89714993804213,True
we00096,l1a,ok,True,original,3920.0,3006.0,3920.0,914.0,23.316326530612244,True
we00097,l1a,ok,True,original,4418.0,3545.0,4418.0,873.0,19.760072430964236,True
we00098,l1a,ok,True,original,2729.0,2515.0,2729.0,214.0,7.841700256504214,True
we00099,l1a,ok,True,original,2025.0,1576.0,2025.0,449.0,22.17283950617284,True
we00000,l1b,ok,True,original,2371.0,1966.0,2371.0,405.0,17.081400253057783,True
we00001,l1b,ok,False,original,5544.0,4431.0,5544.0,0.0,,False
we00002,l1b,ok,True,original,2609.0,2389.0,2609.0,220.0,8.43234955921809,True
we00003,l1b,ok,True,original,2641.0,2242.0,2641.0,399.0,15.107913669064748,True
we00004,l1b,ok,False,original,3802.0,3590.0,3802.0,0.0,,False
we00005,l1b,ok,True,original,3501.0,2852.0,3501.0,649.0,18.537560696943732,True
we00006,l1b,ok,True,original,6634.0,5553.0,6634.0,1081.0,16.29484473922219,True
we00007,l1b,ok,True,original,5269.0,4268.0,5269.0,1001.0,18.997912317327767,True
we00008,l1b,ok,True,original,2999.0,2810.0,2999.0,189.0,6.302100700233411,True
we00009,l1b,ok,True,original,5385.0,4378.0,5385.0,1007.0,18.70009285051068,True
we00010,l1b,ok,True,original,5063.0,4195.0,5063.0,868.0,17.1439857791823,True
we00011,l1b,ok,True,original,6945.0,5858.0,6945.0,1087.0,15.651547876169907,True
we00012,l1b,ok,True,original,5271.0,4635.0,5271.0,636.0,12.066021627774616,True
we00013,l1b,ok,True,original,2593.0,2358.0,2593.0,235.0,9.062861550327806,True
we00014,l1b,ok,True,original,8924.0,7427.0,8924.0,1497.0,16.77498879426266,True
we00015,l1b,ok,True,original,7629.0,5967.0,7629.0,1662.0,21.785292961069604,True
we00016,l1b,ok,True,original,5951.0,5008.0,5951.0,943.0,15.84607628969921,True
we00017,l1b,ok,True,original,1207.0,1150.0,1207.0,57.0,4.72245236122618,False
we00018,l1b,ok,True,original,4121.0,3428.0,4121.0,693.0,16.8163067216695,True
we00019,l1b,ok,True,original,6600.0,5519.0,6600.0,1081.0,16.37878787878788,True
we00020,l1b,ok,True,original,4953.0,3657.0,4953.0,1296.0,26.16596002422774,True
we00021,l1b,ok,False,original,5527.0,4191.0,5527.0,0.0,,False
we00022,l1b,ok,True,original,4247.0,3634.0,4247.0,613.0,14.433717918530727,True
we00023,l1b,ok,True,original,3017.0,2706.0,3017.0,311.0,10.308253231687106,True
we00024,l1b,ok,True,original,2842.0,2674.0,2842.0,168.0,5.911330049261084,True
we00025,l1b,ok,True,original,6591.0,5621.0,6591.0,970.0,14.717038385677439,True
we00026,l1b,ok,True,original,2870.0,2727.0,2870.0,143.0,4.982578397212544,True
we00027,l1b,ok,True,original,4501.0,4194.0,4501.0,307.0,6.820706509664519,True
we00028,l1b,ok,True,original,2142.0,1710.0,2142.0,432.0,20.168067226890756,True
we00029,l1b,ok,False,original,3422.0,3253.0,3422.0,0.0,,False
we00030,l1b,ok,True,original,4391.0,4256.0,4391.0,135.0,3.0744705078569803,True
we00031,l1b,ok,True,original,7592.0,6187.0,7592.0,1405.0,18.50632244467861,True
we00032,l1b,ok,True,original,2560.0,2269.0,2560.0,291.0,11.3671875,True
we00033,l1b,ok,True,original,4997.0,4540.0,4997.0,457.0,9.145487292375424,True
we00034,l1b,ok,False,original,2835.0,2532.0,2835.0,0.0,,False
we00035,l1b,ok,True,original,2717.0,2578.0,2717.0,139.0,5.115936694884064,True
we00036,l1b,ok,True,original,2505.0,2378.0,2505.0,127.0,5.069860279441118,True
we00037,l1b,ok,True,original,3187.0,2618.0,3187.0,569.0,17.853780985252587,True
we00038,l1b,ok,True,original,2528.0,2237.0,2528.0,291.0,11.511075949367088,True
we00039,l1b,ok,False,original,3022.0,2905.0,3022.0,0.0,,False
we00040,l1b,ok,False,original,3075.0,2764.0,3075.0,0.0,,False
we00041,l1b,ok,True,original,3819.0,2948.0,3819.0,871.0,22.80701754385965,True
we00042,l1b,ok,False,original,3565.0,3290.0,3565.0,0.0,,False
we00043,l1b,ok,True,original,1527.0,1334.0,1527.0,193.0,12.63916175507531,True
we00044,l1b,ok,True,original,5874.0,4743.0,5874.0,1131.0,19.254341164453525,True
we00045,l1b,ok,True,original,2542.0,2050.0,2542.0,492.0,19.35483870967742,True
we00046,l1b,ok,True,original,4561.0,4073.0,4561.0,488.0,10.699408024556018,True
we00047,l1b,ok,True,original,6557.0,5586.0,6557.0,971.0,14.808601494585938,True
we00048,l1b,ok,True,original,3090.0,2821.0,3090.0,269.0,8.705501618122977,True
we00049,l1b,ok,True,original,2989.0,2854.0,2989.0,135.0,4.516560722649715,True
we00050,l1b,ok,False,original,4327.0,3675.0,4327.0,0.0,,False
we00051,l1b,ok,True,original,3336.0,3137.0,3336.0,199.0,5.965227817745803,True
we00052,l1b,ok,False,original,1956.0,1700.0,1956.0,0.0,,False
we00054,l1b,ok,True,original,5530.0,4646.0,5530.0,884.0,15.985533453887884,True
we00055,l1b,ok,True,original,4375.0,3228.0,4375.0,1147.0,26.217142857142857,True
we00056,l1b,ok,True,original,1704.0,1298.0,1704.0,406.0,23.826291079812208,True
we00057,l1b,ok,True,original,4324.0,3751.0,4324.0,573.0,13.251618871415356,True
we00058,l1b,ok,True,original,2298.0,2113.0,2298.0,185.0,8.050478677110531,True
we00059,l1b,ok,False,original,2612.0,2444.0,2612.0,0.0,,False
we00060,l1b,ok,False,original,3353.0,2944.0,3353.0,0.0,,False
we00061,l1b,ok,False,original,2695.0,2393.0,2695.0,0.0,,False
we00062,l1b,ok,True,original,1834.0,1618.0,1834.0,216.0,11.777535441657578,True
we00063,l1b,ok,True,original,7104.0,5948.0,7104.0,1156.0,16.27252252252252,True
we00064,l1b,ok,True,original,3941.0,3547.0,3941.0,394.0,9.997462572951028,True
we00065,l1b,ok,True,original,4230.0,3568.0,4230.0,662.0,15.650118203309693,True
we00066,l1b,ok,True,original,1387.0,1158.0,1387.0,229.0,16.51045421773612,True
we00067,l1b,ok,True,original,4451.0,3803.0,4451.0,648.0,14.558526173893506,True
we00068,l1b,ok,True,original,4852.0,3818.0,4852.0,1034.0,21.310799670239078,True
we00069,l1b,ok,True,original,2884.0,2599.0,2884.0,285.0,9.882108183079056,True
we00070,l1b,ok,True,original,2909.0,2685.0,2909.0,224.0,7.700240632519766,True
we00072,l1b,ok,False,original,4006.0,3391.0,4006.0,0.0,,False
we00073,l1b,ok,True,original,4570.0,4121.0,4570.0,449.0,9.824945295404815,True
we00074,l1b,ok,False,original,2923.0,2611.0,2923.0,0.0,,False
we00075,l1b,ok,True,original,1136.0,918.0,1136.0,218.0,19.190140845070424,True
we00076,l1b,ok,False,original,3386.0,2887.0,3386.0,0.0,,False
we00077,l1b,ok,True,original,4958.0,4066.0,4958.0,892.0,17.99112545381202,True
we00078,l1b,ok,False,original,1812.0,1706.0,1812.0,0.0,,False
we00079,l1b,ok,True,original,3327.0,2830.0,3327.0,497.0,14.938382927562369,True
we00080,l1b,ok,True,original,2909.0,2754.0,2909.0,155.0,5.328291509109659,True
we00081,l1b,ok,True,original,3368.0,2538.0,3368.0,830.0,24.643705463182897,True
we00082,l1b,ok,True,original,1910.0,1624.0,1910.0,286.0,14.973821989528796,True
we00083,l1b,ok,True,original,5228.0,4397.0,5228.0,831.0,15.895179801071155,True
we00084,l1b,ok,True,original,3368.0,2538.0,3368.0,830.0,24.643705463182897,True
we00085,l1b,ok,False,original,1999.0,1396.0,1999.0,0.0,,False
we00086,l1b,ok,True,original,1704.0,1300.0,1704.0,404.0,23.708920187793428,True
we00087,l1b,ok,True,original,2647.0,2503.0,2647.0,144.0,5.4401208915753685,True
