page_id,source,tokens_original,base,base_path,tokens_base,status,n_blocks,n_edits_planned,n_edits_kept,oracle_calls,css_chars_before,css_chars_after,buckets,tokenizer,g0_parse,tokens_orig,tokens_comp,reduction_pct,g1_tokens,docH_orig,docH_comp,height_delta_px,g2_height,text_ratio,g3_text,n_boxes_orig,n_boxes_comp,iou_mean,center_shift_max,n_unmatched,g4_blocks,deltae_p95,deltae_max,g5_color,ssim_diag,g6_lpips,pixel_identical,accepted,accepted_strict,tokens_l3
we00000,webcode2m,2371,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00000.html,1845,ok,1.0,5.0,5.0,1.0,2118.0,1416.0,"{""selector_trim"": 59, ""unmatched"": 643}",qwen2.5-vl,True,1845.0,1543.0,16.369,True,1244.0,1244.0,0.0,True,1.0,True,77.0,77.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,1543.0
we00001,webcode2m,5544,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00001.html,4127,ok,1.0,34.0,34.0,1.0,8530.0,6202.0,"{""selector_trim"": 1133, ""unmatched"": 988, ""dead_props"": 207}",qwen2.5-vl,True,4127.0,3374.0,18.246,True,2107.0,2107.0,0.0,True,1.0,True,39.0,39.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,3374.0
we00002,webcode2m,2609,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00002.html,2168,ok,1.0,8.0,8.0,1.0,1181.0,730.0,"{""selector_trim"": 292, ""unmatched"": 159}",qwen2.5-vl,True,2168.0,2047.0,5.581,True,1249.0,1249.0,0.0,True,1.0,True,79.0,79.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,2047.0
we00003,webcode2m,2641,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00003.html,1932,no_change,1.0,0.0,0.0,0.0,779.0,779.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,False,,
we00004,webcode2m,3802,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00004.html,1807,ok,1.0,5.0,5.0,1.0,648.0,530.0,"{""selector_trim"": 118}",qwen2.5-vl,True,1807.0,1776.0,1.716,True,1420.0,1420.0,0.0,True,1.0,True,50.0,50.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,1776.0
we00005,webcode2m,3501,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00005.html,2666,ok,1.0,15.0,15.0,1.0,3308.0,2844.0,"{""selector_trim"": 330, ""unmatched"": 119, ""dead_props"": 15}",qwen2.5-vl,True,2666.0,2526.0,5.251,True,1656.0,1656.0,0.0,True,1.0,True,74.0,74.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,2526.0
we00006,webcode2m,6634,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00006.html,5264,ok,1.0,32.0,32.0,1.0,10648.0,3746.0,"{""selector_trim"": 5680, ""unmatched"": 1166, ""dead_props"": 56}",qwen2.5-vl,True,5264.0,3559.0,32.39,True,2528.0,2528.0,0.0,True,0.99656,True,59.0,57.0,1.0,0.0,2.0,True,0.0,0.0,True,1.0,True,True,True,True,3559.0
we00007,webcode2m,5269,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00007.html,4108,ok,1.0,19.0,19.0,1.0,5373.0,4694.0,"{""selector_trim"": 222, ""unmatched"": 398, ""dead_props"": 59}",qwen2.5-vl,True,4108.0,3910.0,4.82,True,1839.0,1839.0,0.0,True,1.0,True,101.0,101.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,3910.0
we00008,webcode2m,2999,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00008.html,2736,ok,1.0,5.0,5.0,1.0,967.0,847.0,"{""selector_trim"": 68, ""dead_props"": 15, ""unmatched"": 37}",qwen2.5-vl,True,2736.0,2706.0,1.096,True,1461.0,1461.0,0.0,True,1.0,True,134.0,134.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,2706.0
we00009,webcode2m,5385,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00009.html,3401,ok,1.0,36.0,36.0,1.0,5495.0,3459.0,"{""selector_trim"": 427, ""unmatched"": 1215, ""dead_props"": 394}",qwen2.5-vl,True,3401.0,2733.0,19.641,True,802.0,802.0,0.0,True,1.0,True,55.0,55.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,2733.0
